;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
246;27;14;2021;8;64;V;91;N;71;V;77;V;57;V;62;V;82;V;70;V;66;V;70;V;63;V;78;V;70;V;57;V;61;V;75;V;80;V;78;V;80;V;75;V;67;V;70;V;72;V;64;V;86;V;72;V;81;V;77;V;71;V;68;V;59;V
247;27;14;2021;9;57;V;46;V;35;V;60;V;62;V;49;V;59;V;62;V;52;V;66;V;49;V;49;V;36;V;28;V;45;V;39;V;51;V;57;V;56;V;56;V;62;V;64;V;63;V;42;V;63;V;64;V;33;V;48;V;43;V;57;V;0;N
248;27;14;2021;10;27;N;12;N;38;V;15;N;23;V;39;N;38;N;30;V;52;V;52;V;45;V;50;V;51;V;40;V;45;V;31;V;51;V;27;V;33;V;45;V;46;V;68;V;40;V;38;V;33;V;45;V;34;V;38;V;40;V;42;V;37;V
249;27;14;2021;11;65;V;50;V;69;V;35;V;61;V;53;V;33;V;39;V;41;V;34;V;24;V;31;V;31;V;38;V;55;V;33;V;52;V;33;V;41;V;35;V;21;V;21;V;33;V;20;V;25;V;32;V;59;V;52;V;65;V;16;V;0;N
250;27;14;2021;12;13;V;53;N;20;V;21;V;73;V;51;V;23;V;77;V;64;V;69;V;36;V;19;V;16;V;16;V;16;V;14;V;12;V;23;V;23;V;7;V;5;V;10;V;9;V;12;V;37;V;24;V;53;V;47;V;14;V;9;V;11;V
251;35;1;2021;1;4;V;3;V;3;V;4;V;6;V;4;V;2;V;1;V;1;V;3;V;5;V;6;V;10;V;12;V;11;V;13;V;11;V;12;V;9;V;6;V;5;V;5;V;4;V;5;V;5;V;6;V;7;V;7;V;7;V;6;V;6;V
252;35;1;2021;2;7;V;7;V;7;V;7;V;7;V;7;V;6;V;5;V;5;V;6;V;7;V;7;V;7;V;8;V;7;V;8;V;9;V;10;V;10;V;8;V;7;V;6;V;7;V;7;V;8;V;8;V;8;V;7;V;0;N;0;N;0;N
253;35;1;2021;3;8;V;8;V;9;V;8;V;8;V;8;V;8;V;8;V;7;V;8;V;9;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;9;V;10;V;10;V;10;V;9;V;9;V;8;V;8;V;8;V;8;V
254;35;1;2021;4;7;V;8;V;8;V;8;V;8;V;8;V;7;V;7;V;8;V;7;V;7;V;7;V;8;V;8;V;8;V;8;V;7;V;7;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;9;V;8;V;8;V;8;V;0;N
255;35;1;2021;5;8;V;8;V;8;V;8;V;9;V;9;V;9;V;9;V;8;V;8;V;8;V;8;V;8;V;9;V;9;V;9;V;9;V;6;V;4;V;4;V;4;V;3;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
256;35;1;2021;6;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;0;N
257;35;1;2021;7;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;6;V;6;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V
258;35;1;2021;8;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;7;V;7;V;7;V;7;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;8;V
259;35;1;2021;9;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;9;V;8;V;8;V;9;V;9;V;8;V;8;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;10;V;5;V;1;V;1;V;0;N
260;35;1;2021;10;2;V;2;V;1;V;1;V;1;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V
261;35;1;2021;11;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;5;V;5;V;7;V;6;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;3;V;3;V;4;V;4;V;3;V;4;N;5;V;6;V;0;N
262;35;1;2021;12;5;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;6;V;6;V;7;V;8;V;9;V;9;V;8;V;8;V;7;V;7;V;8;V;9;V;8;V;7;V;7;V;6;V;7;V;6;V;6;V;6;V;6;V;6;V
