;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
314;36;10;2021;4;37;V;13;V;24;V;25;V;24;V;21;V;18;V;22;V;19;V;19;V;7;V;8;V;18;V;15;V;19;V;14;V;11;N;13;V;22;V;18;V;13;V;10;V;12;V;12;V;10;V;16;V;16;V;12;V;14;V;16;V;0;N
315;36;10;2021;5;9;V;9;V;13;V;15;V;19;V;17;V;19;V;23;V;16;V;13;V;8;V;10;V;12;V;12;V;13;V;8;V;10;V;17;V;10;V;20;V;25;V;10;V;12;V;10;V;16;V;21;V;21;V;19;V;16;V;18;V;27;V
316;36;10;2021;6;24;V;27;V;27;V;16;V;15;V;16;V;17;V;23;V;22;V;26;V;30;V;16;V;17;V;27;V;35;V;35;V;18;V;15;V;10;V;10;V;8;V;16;V;7;V;15;V;22;V;25;V;14;V;12;V;15;V;21;V;0;N
317;36;10;2021;7;23;V;25;V;18;V;12;V;16;V;14;V;16;N;14;V;28;V;34;V;112;V;24;V;15;V;15;V;20;V;30;V;25;V;22;V;26;V;37;V;43;V;44;V;38;V;16;V;16;V;16;V;23;V;25;V;34;V;24;V;16;V
318;36;10;2021;8;8;V;20;V;25;V;14;V;20;V;25;V;13;V;13;V;28;V;40;V;101;V;59;V;69;V;81;V;55;V;27;V;16;V;28;V;33;V;34;V;26;V;33;V;39;V;34;V;35;V;42;V;33;V;32;V;22;V;19;V;25;V
319;36;10;2021;9;14;V;12;V;13;V;17;V;17;V;23;V;28;V;11;V;10;V;9;V;14;V;23;V;44;V;21;V;12;V;17;V;17;V;12;V;12;V;10;V;7;V;12;V;12;V;18;N;11;V;10;V;24;V;18;V;12;V;18;V;0;N
320;36;10;2021;10;21;V;21;V;5;V;7;V;10;V;11;V;14;V;15;V;12;V;12;V;14;V;15;V;12;V;22;V;29;V;28;V;19;V;20;V;24;V;23;V;11;V;7;V;8;V;15;V;24;V;22;V;27;V;28;V;23;V;4;V;3;V
321;36;10;2021;11;3;V;8;V;5;V;10;V;4;V;4;V;14;V;11;V;13;V;18;V;36;V;17;V;15;V;14;V;6;V;13;V;9;V;14;V;13;V;12;V;18;V;14;V;12;V;13;V;14;V;17;V;5;V;5;V;6;V;22;V;0;N
322;36;10;2021;12;24;V;7;V;14;V;13;V;5;V;6;V;13;V;3;V;6;V;5;V;13;V;13;V;19;V;15;V;19;V;26;V;26;V;21;V;17;V;24;V;41;V;27;V;19;V;10;V;5;V;7;V;9;V;12;V;22;V;19;V;17;V
323;38;1;2021;1;3;N;3;N;4;N;6;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
324;38;8;2021;1;16;V;28;V;34;V;41;V;65;V;43;V;44;V;36;V;22;V;26;V;47;V;94;V;122;V;147;V;130;V;134;V;129;V;122;V;84;V;76;V;23;V;21;V;13;V;13;V;19;V;26;V;33;V;33;V;29;V;11;V;12;V
325;38;8;2021;2;21;V;24;V;37;V;40;V;37;V;30;V;15;V;20;V;25;V;23;V;36;V;30;V;33;V;44;V;36;V;46;V;65;V;59;V;59;V;34;V;18;V;31;V;45;V;41;V;42;V;52;V;38;V;17;V;0;N;0;N;0;N
326;38;8;2021;3;45;V;36;V;50;V;62;V;40;V;24;V;24;V;46;V;28;V;43;V;33;V;28;V;34;V;28;V;33;V;27;V;24;V;29;V;21;V;20;V;24;V;45;V;49;V;47;V;48;V;34;V;24;V;18;V;32;V;32;V;31;V
327;38;8;2021;4;18;V;16;V;28;V;25;V;35;V;48;V;29;V;27;V;35;V;18;V;15;V;31;V;47;V;29;V;29;V;30;V;19;V;18;V;39;V;34;V;27;V;32;V;25;V;16;V;25;V;30;V;35;V;24;V;18;V;25;V;0;N
328;38;8;2021;5;19;V;20;V;19;V;32;V;37;V;37;V;29;V;25;V;14;V;15;V;16;V;13;V;16;V;20;V;14;V;9;V;24;V;30;V;20;V;31;V;37;V;13;V;14;V;19;V;26;V;26;V;29;V;32;V;27;V;17;V;24;V
329;38;8;2021;6;23;V;30;V;22;V;29;V;18;V;27;V;32;V;35;V;41;V;28;V;29;V;13;V;15;V;28;V;22;V;25;V;28;V;21;V;15;V;10;V;14;V;29;V;22;V;28;V;32;V;25;V;11;V;18;V;24;V;26;V;0;N
330;38;8;2021;7;32;V;35;V;14;V;11;V;18;V;18;V;22;V;22;V;32;V;32;V;18;V;15;V;15;V;21;V;28;V;28;V;17;V;17;V;28;V;38;V;34;V;31;V;38;V;13;V;12;V;21;V;24;V;27;V;21;V;20;V;10;V
331;38;8;2021;8;10;V;17;V;22;V;14;V;24;V;15;V;8;V;13;V;18;V;21;V;28;V;19;V;37;V;34;V;16;V;21;V;14;V;15;V;17;V;18;V;24;V;24;V;22;V;17;V;18;V;32;V;29;V;14;V;14;V;14;V;23;V
332;38;8;2021;9;25;V;30;V;33;V;32;V;41;V;37;V;31;V;15;V;21;V;17;V;22;V;34;V;42;V;23;V;24;V;38;V;32;V;20;V;22;V;25;V;16;V;25;V;21;V;30;V;22;V;19;V;53;V;41;V;39;V;38;V;0;N
333;38;8;2021;10;39;V;32;V;15;V;27;V;26;V;43;V;62;N;55;V;38;V;27;V;36;V;31;V;48;V;54;V;55;V;67;V;27;V;52;V;50;V;34;V;35;V;22;V;29;V;48;N;64;V;51;V;65;V;56;V;42;V;16;V;10;V
334;38;8;2021;11;14;V;21;V;21;V;45;V;35;V;32;V;51;V;63;V;55;V;50;V;88;V;55;V;46;V;41;V;31;V;51;V;38;V;50;V;35;V;36;V;31;V;44;V;44;V;36;V;46;V;55;V;20;V;13;V;25;V;62;V;0;N
335;38;8;2021;12;46;V;32;V;42;V;26;V;10;V;16;V;33;V;9;V;19;V;21;V;42;V;60;V;60;V;75;V;90;V;71;V;56;V;45;V;38;V;61;V;59;V;45;V;54;V;33;V;22;V;22;V;12;V;18;V;41;V;65;V;58;V
336;38;9;2021;1;3;V;3;V;4;V;4;V;11;V;9;V;7;V;5;V;4;V;5;V;13;V;26;V;39;V;48;V;41;V;48;V;44;V;31;V;17;V;16;V;3;V;3;V;2;V;3;V;3;V;4;V;7;V;9;V;9;V;2;V;3;V
337;38;9;2021;2;3;V;3;V;6;V;9;V;12;V;6;V;3;V;3;V;3;V;3;V;5;V;4;V;5;V;8;V;8;V;13;V;14;V;22;V;20;V;15;V;18;V;3;V;6;V;13;V;15;V;14;V;12;V;13;V;0;N;0;N;0;N
338;38;9;2021;3;14;V;14;V;23;V;28;V;21;V;16;V;12;V;10;V;8;V;11;V;10;V;5;V;7;V;5;V;5;V;5;V;4;V;4;V;4;V;3;V;4;V;8;V;8;V;8;V;10;V;10;V;12;V;11;V;8;V;9;V;9;V
339;38;9;2021;4;12;V;5;V;11;V;11;V;11;V;8;V;7;V;9;V;9;V;10;V;4;V;4;V;7;V;9;V;9;V;9;V;7;V;9;V;10;V;8;V;7;V;6;V;5;V;6;V;8;V;11;V;8;V;7;V;5;V;6;V;0;N
340;38;9;2021;5;5;V;7;V;5;V;8;V;9;V;9;V;9;V;8;V;6;V;3;V;4;V;4;V;5;V;4;V;5;V;5;V;4;V;7;V;5;V;7;V;10;V;5;V;4;V;5;V;8;V;9;V;10;V;12;V;10;V;12;V;12;V
341;38;9;2021;6;14;V;11;V;13;V;9;V;12;V;13;V;10;V;9;V;10;V;13;V;13;V;11;V;10;V;13;V;13;V;18;V;16;V;16;V;5;V;6;V;6;V;6;V;5;V;8;V;10;V;14;V;6;V;5;V;7;V;12;V;0;N
342;38;9;2021;7;9;V;9;V;9;V;9;V;11;V;10;V;6;V;6;V;14;V;15;V;25;V;7;V;5;V;6;V;10;V;15;V;10;V;13;V;16;V;13;V;16;V;14;V;15;V;6;V;5;V;8;V;9;V;10;V;11;V;10;V;5;V
343;38;9;2021;8;3;V;6;V;8;V;6;V;6;V;6;V;4;V;6;V;13;V;11;V;20;V;15;V;14;V;19;V;12;V;8;V;5;V;8;V;10;V;12;V;8;V;10;V;9;V;10;V;12;V;14;V;11;V;10;V;9;V;8;V;11;V
344;38;9;2021;9;14;V;12;V;15;V;11;V;13;V;11;V;10;V;6;V;6;V;4;N;5;V;7;V;15;V;11;V;9;V;11;V;8;V;8;V;3;V;4;V;3;V;4;V;6;V;15;V;12;V;5;V;9;V;9;V;7;V;9;V;0;N
345;38;9;2021;10;7;V;7;V;4;V;3;V;4;V;6;V;7;N;8;V;6;V;7;V;8;V;9;V;5;V;8;V;8;V;10;V;12;V;12;V;11;V;7;V;5;V;2;V;3;V;5;N;7;V;8;V;10;V;9;V;11;V;10;V;16;V
346;38;9;2021;11;2;V;2;V;2;V;3;V;3;V;2;V;5;V;6;V;5;V;5;V;12;V;6;V;5;V;6;V;1;N;3;V;3;V;5;V;3;V;6;V;7;V;6;V;4;V;4;V;3;V;5;V;1;N;1;N;1;V;5;V;0;N
347;38;9;2021;12;8;V;2;V;3;V;3;V;1;V;2;V;6;V;1;V;2;V;2;V;5;V;10;V;11;V;10;V;10;V;12;V;9;V;10;V;6;V;11;V;16;V;10;V;10;V;5;V;3;V;3;V;3;V;3;V;7;V;11;V;10;V
348;38;10;2021;1;4;V;5;V;7;V;7;V;18;V;14;V;11;V;7;V;5;V;6;V;14;V;30;V;45;V;56;V;46;V;54;V;50;V;37;V;22;V;19;V;5;V;5;V;4;V;6;V;5;V;6;V;11;V;11;V;11;V;4;V;6;V
349;38;10;2021;2;8;V;5;V;9;V;14;V;32;V;10;V;4;V;5;V;5;V;6;V;8;V;7;V;9;V;11;V;13;V;19;V;22;V;62;V;64;V;32;V;49;V;6;V;11;V;28;V;40;V;41;V;26;V;28;V;0;N;0;N;0;N
350;38;10;2021;3;32;V;43;V;84;V;84;V;58;V;36;V;21;V;18;V;13;V;17;V;16;V;9;V;13;V;8;V;11;V;13;V;10;V;10;V;7;V;6;V;8;V;15;V;18;V;19;V;21;V;28;V;27;V;25;V;26;V;29;V;26;V
351;38;10;2021;4;24;V;9;V;21;V;23;V;21;V;17;V;17;V;19;V;19;V;18;V;6;V;8;V;14;V;17;V;18;V;16;V;12;V;13;V;17;V;15;V;12;V;9;V;10;V;10;V;12;V;17;V;14;V;12;V;8;V;11;V;0;N
352;38;10;2021;5;7;V;10;V;8;N;13;V;15;V;15;V;16;V;16;V;12;V;9;V;7;V;7;V;8;V;7;V;9;V;9;V;8;V;14;V;12;V;16;V;22;V;10;V;10;V;10;V;16;V;18;V;20;V;21;V;17;V;20;V;22;V
353;38;10;2021;6;26;V;21;V;25;V;18;V;19;V;19;V;19;V;19;V;19;V;24;V;26;V;19;V;18;V;27;V;35;V;36;V;25;V;24;V;10;V;10;V;11;V;12;V;11;V;15;V;20;V;23;V;12;V;10;V;14;V;23;V;0;N
354;38;10;2021;7;18;V;19;V;15;V;15;V;20;V;21;V;11;V;14;V;24;V;25;V;64;V;17;V;13;V;15;V;21;V;27;V;17;V;21;V;27;V;24;V;27;V;27;V;23;V;10;V;9;V;13;V;15;V;17;V;21;V;17;V;9;V
355;38;10;2021;8;5;V;12;V;14;V;10;V;11;V;12;V;7;V;9;V;20;V;22;V;57;V;37;V;35;V;47;V;33;V;14;V;10;V;16;V;20;V;20;V;15;V;20;V;23;V;21;V;24;V;27;V;24;V;21;V;16;V;15;V;21;V
356;38;10;2021;9;18;V;16;V;19;V;15;V;18;V;19;V;19;V;10;V;9;V;6;N;8;V;13;V;27;V;16;V;12;V;15;V;12;V;11;V;5;V;7;V;5;V;7;V;10;V;23;V;16;V;7;V;15;V;15;V;12;V;16;V;0;N
357;38;10;2021;10;14;V;14;V;6;V;5;V;7;V;11;V;14;N;16;V;12;V;12;V;13;V;15;V;10;V;15;V;17;V;18;V;17;V;19;V;17;V;14;V;12;V;7;V;8;V;11;N;18;V;19;V;22;V;19;V;18;V;12;V;17;V
358;38;10;2021;11;3;V;5;V;4;V;7;V;6;V;4;V;9;V;11;V;10;V;10;V;26;V;14;V;11;V;11;V;5;V;10;V;7;V;10;V;8;V;10;V;12;V;9;V;9;V;7;V;7;V;10;V;3;V;3;V;4;V;11;V;0;N
359;38;10;2021;12;12;V;4;V;6;V;5;V;2;V;4;V;9;V;2;V;4;V;4;V;8;V;14;V;17;V;19;V;20;V;20;V;16;V;13;V;10;V;20;V;26;V;17;V;14;V;7;V;4;V;4;V;5;V;6;V;13;V;19;V;15;V
360;39;8;2021;1;15;V;24;V;37;V;35;V;60;V;35;V;31;V;23;V;14;V;16;V;43;V;76;V;100;V;112;V;111;V;114;V;114;V;103;V;79;V;77;V;18;V;19;V;11;V;11;V;17;V;25;V;32;V;26;V;21;V;10;V;9;V
361;39;8;2021;2;14;V;19;V;30;V;35;V;28;V;23;V;11;V;18;V;22;V;20;V;31;V;24;V;30;V;37;V;32;V;46;V;57;V;49;V;54;V;36;V;14;V;22;V;39;V;39;V;26;V;36;V;32;V;12;V;0;N;0;N;0;N
362;39;8;2021;3;29;V;31;V;40;V;48;V;32;V;17;V;20;V;34;V;16;V;33;V;27;V;21;V;27;V;19;V;17;V;11;V;10;V;12;V;11;V;8;V;11;V;29;V;48;V;48;V;46;V;34;V;16;V;15;V;29;V;22;V;25;V
363;39;8;2021;4;18;V;13;V;27;V;23;V;29;V;44;V;20;V;20;V;25;V;18;V;10;V;22;V;31;V;21;V;23;V;20;V;12;V;14;V;32;V;29;V;23;V;21;V;19;V;12;V;20;V;27;V;30;V;20;V;14;V;21;V;0;N
364;39;8;2021;5;15;V;11;V;10;V;27;V;35;V;35;V;29;V;28;V;14;V;13;V;12;V;11;V;12;V;14;V;12;V;8;V;15;V;25;V;12;V;26;V;37;V;9;V;8;V;12;V;18;V;17;V;20;V;21;V;20;V;13;V;19;V
365;39;8;2021;6;20;V;23;V;18;V;24;V;15;V;21;V;25;V;28;V;34;V;23;V;16;V;9;V;11;V;18;V;16;V;23;V;21;V;19;V;13;V;8;V;12;V;21;V;12;V;20;V;31;V;28;V;11;V;11;V;18;V;23;V;0;N
366;39;8;2021;7;35;V;37;V;13;V;10;V;16;V;17;V;18;V;18;V;26;V;32;V;17;V;10;V;11;V;14;V;24;V;29;V;15;V;10;V;20;V;33;V;26;V;31;V;39;V;10;V;9;V;17;V;25;V;27;V;25;V;17;V;7;V
367;39;8;2021;8;5;V;19;V;27;V;8;V;23;V;15;V;6;V;11;V;19;V;22;V;32;V;27;V;42;V;35;V;21;V;20;V;10;V;15;V;19;V;21;V;37;V;29;V;21;V;18;V;18;V;33;V;38;V;17;V;12;V;15;V;22;V
368;39;8;2021;9;19;V;25;V;38;V;33;V;39;V;36;V;35;V;16;V;22;V;16;V;27;V;35;V;36;V;23;V;25;V;38;V;32;V;20;V;24;V;21;V;13;V;17;V;18;V;26;V;24;V;17;V;52;V;44;V;38;V;37;V;0;N
369;39;8;2021;10;41;V;37;V;13;V;24;V;22;V;38;V;51;V;59;V;38;V;28;V;30;V;34;V;42;V;52;V;50;V;64;V;29;V;48;V;53;V;39;V;26;V;14;V;29;V;43;V;59;V;47;V;64;V;55;V;38;V;17;V;10;V
370;39;8;2021;11;13;V;21;V;18;V;38;V;25;V;26;V;49;V;53;V;52;V;49;V;79;V;56;V;45;V;37;V;19;V;43;V;31;V;44;V;34;V;28;V;29;V;34;V;36;V;33;V;41;V;51;V;18;V;13;V;21;V;61;V;0;N
371;39;8;2021;12;46;V;26;V;44;V;33;V;8;V;18;V;33;V;11;V;18;V;17;V;42;V;54;V;57;V;64;V;82;V;83;V;65;V;46;V;39;V;57;V;54;V;48;V;54;V;35;V;21;V;24;V;13;V;23;V;37;V;58;V;53;V
372;39;14;2021;1;51;V;45;V;27;V;37;V;16;V;28;V;28;V;39;V;50;V;50;V;29;V;14;N;11;V;9;V;10;V;9;V;10;V;10;V;13;V;10;V;37;V;42;V;42;V;47;V;32;V;19;V;16;V;14;V;19;V;40;V;46;V
373;39;14;2021;2;44;V;28;V;23;V;25;V;27;V;35;V;39;V;40;V;41;V;46;V;23;V;36;V;36;V;26;V;33;V;25;V;20;V;19;V;18;V;28;V;45;V;42;V;24;V;25;V;29;V;27;V;35;V;45;V;0;N;0;N;0;N
374;39;14;2021;3;33;V;35;V;25;V;12;V;27;V;41;V;42;V;21;V;41;V;32;V;30;V;34;V;31;V;38;V;49;V;48;V;45;V;49;V;46;V;55;V;47;V;28;V;20;V;35;V;34;V;38;V;47;V;52;V;49;V;51;V;49;V
375;39;14;2021;4;54;V;44;V;31;V;51;V;49;V;37;V;51;V;46;V;39;V;42;V;42;V;49;V;38;V;42;V;43;V;51;V;62;V;58;V;45;V;39;V;43;V;43;V;50;V;56;V;41;V;34;V;33;V;38;V;51;V;47;V;0;N
376;39;14;2021;5;51;V;59;V;55;V;46;V;46;V;40;V;43;V;44;V;49;V;48;V;67;V;80;V;75;V;82;V;55;V;34;V;80;V;58;V;80;V;76;V;52;V;88;V;77;V;74;V;86;V;85;V;79;V;77;V;82;V;90;V;70;V
377;39;14;2021;6;59;V;73;V;81;V;69;V;60;V;63;V;71;V;76;V;73;V;90;V;86;V;96;V;97;V;100;V;89;V;82;V;62;V;58;V;75;V;66;V;61;V;53;V;68;V;86;V;78;V;83;V;82;V;84;V;87;V;80;V;0;N
378;39;14;2021;7;68;V;64;V;64;V;76;V;65;V;43;V;62;V;67;V;78;V;81;V;96;V;76;V;69;V;69;V;83;V;90;V;105;V;109;V;100;V;91;V;95;V;81;N;69;V;91;V;89;V;74;V;79;V;79;V;80;V;96;V;75;V
379;39;14;2021;8;70;V;82;V;69;V;82;V;68;V;71;V;84;V;81;V;66;V;75;V;64;V;77;V;72;V;64;V;76;V;96;V;92;V;89;V;87;V;78;V;72;V;86;V;82;V;76;V;87;V;83;V;85;V;95;V;88;V;75;V;67;V
380;39;14;2021;9;49;V;50;V;54;V;78;V;68;V;51;V;59;V;61;V;52;V;64;N;49;N;25;N;28;N;28;N;28;N;38;V;46;V;53;V;62;V;62;N;48;V;52;V;59;V;33;V;51;V;59;V;31;V;43;V;45;V;54;V;0;N
381;39;14;2021;10;43;V;52;V;48;V;45;V;42;V;36;V;39;V;24;V;56;V;57;V;49;V;52;V;51;V;41;V;45;V;31;V;52;V;23;V;29;V;41;V;50;V;59;V;47;V;40;V;31;V;48;V;26;V;33;V;45;V;34;V;30;V
382;39;14;2021;11;56;V;52;V;61;V;32;V;46;V;48;V;28;V;24;V;27;V;35;V;15;V;30;V;26;V;29;V;54;V;25;V;44;V;33;V;36;V;40;V;31;V;16;V;20;N;21;V;22;V;21;V;51;V;57;V;51;V;15;V;0;N
383;39;14;2021;12;20;V;51;V;33;V;34;V;72;V;58;V;26;V;69;V;62;V;62;V;40;V;16;V;16;V;20;V;21;V;11;N;21;N;23;V;32;V;11;V;11;V;15;V;9;V;22;V;41;V;32;V;52;V;43;V;24;V;12;V;12;V
384;40;1;2021;1;3;N;4;N;4;N;4;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
385;40;8;2021;1;17;V;27;V;34;V;37;V;55;V;38;V;32;V;20;V;14;V;18;V;50;V;70;V;104;V;121;V;125;V;135;V;93;V;91;V;65;V;62;V;23;V;22;V;13;V;12;V;18;V;27;V;39;V;33;V;32;V;10;V;9;V
386;40;8;2021;2;22;V;22;V;35;V;39;V;26;V;27;V;11;V;21;V;21;V;23;V;40;V;31;V;32;V;33;V;28;V;43;V;50;V;58;V;51;V;25;V;14;V;23;V;39;V;32;V;28;V;35;V;34;V;13;V;0;N;0;N;0;N
387;40;8;2021;3;39;V;36;V;47;V;49;V;37;V;22;V;18;V;38;V;20;V;42;V;37;V;33;V;35;V;20;V;20;V;14;V;11;V;15;V;15;V;10;V;15;V;35;V;53;V;48;V;50;V;32;V;17;V;13;V;24;V;23;V;23;V
388;40;8;2021;4;17;V;18;V;30;V;21;V;32;V;44;V;20;V;19;V;25;V;18;V;15;V;23;V;36;V;23;V;20;V;23;V;15;V;15;V;37;V;35;V;21;V;34;V;20;V;13;V;20;V;30;V;35;V;29;V;20;V;31;V;0;N
389;40;8;2021;5;19;V;12;V;13;V;29;V;39;V;28;V;32;V;26;V;12;V;19;V;13;V;12;V;16;V;17;V;17;V;8;V;18;V;30;V;15;V;21;V;36;V;11;V;11;V;20;V;17;V;21;V;21;V;25;V;20;V;11;V;19;V
390;40;8;2021;6;19;V;26;V;20;V;27;V;15;V;23;V;26;V;28;V;30;V;23;V;22;V;10;V;13;V;23;V;22;V;18;V;26;V;22;V;18;V;11;V;13;V;25;V;18;V;23;V;29;V;26;V;9;V;17;V;24;V;24;V;0;N
391;40;8;2021;7;29;V;34;V;17;V;10;V;19;V;17;V;22;V;18;V;27;V;24;V;16;V;12;V;13;V;16;V;24;V;33;V;18;V;13;V;19;V;32;V;29;V;32;V;35;V;13;V;13;V;20;V;21;V;26;V;20;V;19;V;10;V
392;40;8;2021;8;9;V;19;V;24;V;13;V;26;V;19;V;10;V;15;V;15;V;21;V;26;V;21;V;39;V;32;V;21;V;18;V;14;V;19;V;21;V;20;V;30;V;27;V;22;V;20;V;18;V;37;V;31;V;25;V;14;V;18;V;27;V
393;40;8;2021;9;20;V;27;V;36;V;30;V;30;V;31;V;28;V;16;V;26;V;19;V;26;V;30;V;36;V;23;V;26;V;42;V;31;V;25;V;21;V;16;V;13;V;19;V;16;V;28;V;21;V;25;V;48;V;36;V;31;V;31;V;0;N
394;40;8;2021;10;35;V;29;V;10;V;21;V;21;V;26;V;46;V;52;V;36;V;26;V;32;V;36;V;38;V;51;V;61;V;61;V;36;V;46;V;45;V;33;V;37;V;15;V;32;V;41;V;65;V;46;V;65;V;58;V;46;V;16;V;11;V
395;40;8;2021;11;15;V;22;V;21;V;39;V;20;V;18;V;52;V;46;V;53;V;59;V;82;V;55;V;46;V;31;V;22;V;49;V;33;V;46;V;34;V;35;V;40;V;44;V;36;V;40;V;47;V;62;V;24;V;15;V;30;V;69;V;0;N
396;40;8;2021;12;57;V;33;V;52;V;45;V;13;V;22;V;33;V;12;V;23;V;21;V;40;V;48;V;56;V;56;V;66;V;62;V;58;V;46;V;39;V;61;V;61;V;47;V;47;V;35;V;21;V;25;V;15;V;26;V;47;V;57;V;49;V
397;40;10;2021;1;6;V;6;V;9;V;9;V;20;V;17;V;10;V;7;V;5;V;7;V;20;V;32;V;56;V;66;V;60;V;76;V;46;V;36;V;25;V;22;V;4;V;5;V;5;V;8;V;5;V;6;V;15;V;13;V;16;V;6;V;7;V
398;40;10;2021;2;9;V;6;V;10;V;18;V;46;V;20;V;5;V;6;V;7;V;10;V;13;V;10;V;14;V;12;V;16;V;25;V;32;V;105;V;109;V;41;V;70;V;6;V;13;V;35;V;55;V;55;V;32;V;36;V;0;N;0;N;0;N
399;40;10;2021;3;41;V;56;V;107;V;103;V;73;V;43;V;25;V;21;V;16;V;22;V;23;V;11;V;14;V;9;V;12;V;14;V;10;V;10;V;8;V;7;V;10;V;16;V;23;V;23;V;32;V;43;V;32;V;31;V;31;V;34;V;32;V
400;40;10;2021;4;34;V;11;V;26;V;27;V;24;V;25;V;16;V;19;V;19;V;19;V;6;V;8;V;14;V;15;V;19;V;18;V;14;V;16;V;21;V;19;V;10;V;9;V;10;V;12;V;10;V;21;V;16;V;12;V;13;V;15;V;0;N
401;40;10;2021;5;8;V;9;V;12;V;15;V;20;V;17;V;18;V;22;V;18;V;12;V;8;V;9;V;12;V;8;V;12;V;9;V;12;V;17;V;10;V;18;V;28;V;11;V;11;V;12;V;18;V;25;V;25;V;22;V;18;V;22;V;32;V
402;40;10;2021;6;26;V;23;V;24;V;21;V;12;V;15;V;15;V;18;V;20;V;23;V;29;V;13;V;13;V;22;V;30;V;31;V;13;V;14;V;8;V;5;V;7;V;8;V;5;V;12;V;16;V;24;V;13;V;11;V;14;V;19;V;0;N
403;40;10;2021;7;24;V;22;V;15;V;8;V;13;V;10;V;11;V;9;V;20;V;29;V;89;V;23;V;11;V;11;V;20;V;25;V;21;V;17;V;19;V;29;V;36;V;43;V;36;V;13;V;13;V;13;V;20;V;25;V;29;V;22;V;15;V
404;40;10;2021;8;8;V;16;V;22;V;12;V;18;V;22;V;13;V;11;V;27;V;37;V;95;V;56;V;57;V;74;V;43;N;22;V;16;V;24;V;30;V;33;V;26;V;30;V;39;V;33;V;35;V;41;V;34;V;33;V;23;V;21;V;29;V
405;40;10;2021;9;20;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;7;N;12;N;22;N;42;N;21;N;11;V;22;N;16;V;14;V;10;N;11;N;6;V;7;V;12;V;26;V;17;V;13;V;25;V;19;V;14;V;21;V;0;N
406;40;10;2021;10;22;V;25;V;7;V;7;V;13;V;14;V;17;V;17;V;14;V;15;V;16;V;19;V;12;V;23;V;34;V;30;V;22;V;22;V;28;V;25;V;13;N;11;V;10;V;16;V;28;V;24;V;34;V;32;V;27;V;6;V;5;V
407;40;10;2021;11;5;V;9;V;6;V;13;V;5;V;5;V;15;V;11;V;16;V;22;V;42;V;20;V;17;V;15;V;7;V;15;V;10;V;15;V;13;V;13;V;20;V;18;V;14;V;15;V;16;V;20;V;7;V;5;V;9;V;24;V;0;N
408;40;10;2021;12;26;V;7;V;14;V;15;V;7;V;7;V;14;V;4;V;7;V;7;V;14;V;14;V;23;V;18;V;19;V;26;V;23;V;20;V;14;V;25;V;42;V;30;V;21;V;13;V;6;V;7;V;10;V;14;V;24;V;22;V;20;V
409;47;8;2021;1;11;V;22;V;35;V;27;V;50;V;38;V;33;V;25;V;15;V;20;V;50;V;68;V;96;V;104;V;119;V;111;V;86;V;96;V;62;V;4;N;26;V;22;V;15;V;16;V;20;V;25;V;36;V;28;V;27;V;12;V;13;V
410;47;8;2021;2;23;V;22;V;35;V;41;V;33;V;33;V;15;V;20;V;24;V;21;V;38;V;25;V;34;V;37;V;31;V;48;V;59;V;50;V;52;V;35;V;15;V;24;V;40;V;37;V;37;V;45;V;40;V;17;V;0;N;0;N;0;N
411;47;8;2021;3;44;V;38;V;50;V;50;V;41;V;24;V;21;V;45;V;24;V;41;V;43;V;28;V;33;V;26;V;28;V;21;V;18;V;22;V;19;V;16;V;21;V;44;V;56;V;52;V;50;V;38;V;21;V;14;V;28;V;24;V;25;V
412;47;8;2021;4;15;V;13;V;26;V;20;V;25;V;37;V;17;V;18;V;24;V;13;V;11;V;23;V;39;V;18;V;13;V;17;V;10;V;12;V;27;V;25;V;16;V;25;V;20;V;11;V;21;V;25;V;33;V;24;V;13;V;24;V;0;N
413;47;8;2021;5;16;V;12;V;12;V;27;V;32;V;31;V;25;V;32;V;12;V;14;V;9;V;9;V;11;V;10;V;12;V;6;V;14;V;26;V;15;V;24;V;39;V;8;V;10;V;15;V;16;V;17;V;23;V;24;V;17;V;11;V;17;V
414;47;8;2021;6;16;V;24;V;17;V;28;V;15;V;25;V;24;V;25;V;32;V;20;V;22;V;10;V;14;V;21;V;18;V;17;V;21;V;19;V;13;V;7;V;10;V;18;V;17;V;19;V;30;V;23;V;8;V;10;V;19;V;18;V;0;N
415;47;8;2021;7;28;V;36;V;12;V;6;V;13;V;15;V;17;V;19;V;27;V;25;V;24;V;8;V;12;V;15;V;23;V;33;V;17;V;11;V;18;V;34;V;32;V;31;V;43;V;8;V;9;V;19;V;22;V;22;V;16;V;18;V;6;V
