"estacion";"numEst";"grupoKmeans";"grupoJerarquico"
"J.M.D. Moratalaz";102;1;1
"J.M.D. Villaverde";103;4;2
"Centro Mpal. De Acustica";106;3;3
"J.M.D. Hortaleza";107;2;3
"Casa de Campo";24;4;2
"Ensanche de Vallecas";54;4;2
"Plaza Eliptica";56;4;1
"Juan Carlos I";59;2;4
