"estacion";"numEst";"grupoKmeans";"grupoJerarquico"
"ESCUELAS AGUIRRE";8;2;1
"CASA DE CAMPO";24;4;2
"CUATRO CAMINO";38;2;3
"MENDEZ ALVARO";47;1;3
"CASTELLANA";48;1;3
"PLAZA CASTILLA-CANAL";50;3;3
"PLAZA ELIPTICA";56;1;4
