"estacion";"numEst";"grupoKmeans";"grupoJerarquico"
"J.M.D. Moratalaz";102;2;1
"J.M.D. Villaverde";103;2;1
"Centro Mpal. De Acustica";106;3;2
"J.M.D. Hortaleza";107;2;1
"J.M.D.Chamberi";109;5;3
"J.M.D.Centro";110;4;4
"J.M.D.Vallecas 1";112;4;4
"Escuelas Aguirre";8;4;4
"Casa de Campo";24;1;5
"Plaza del Carmen";35;4;4
"Moratalaz";36;1;5
"Cuatro Caminos";38;4;4
"Ensanche de Vallecas";54;4;4
"Plaza Eliptica";56;4;4
"El Pardo";58;3;2
"Juan Carlos I";59;1;5
